Time,SSS_GPS_LAT,SSS_GPS_LON,SSS_GPS_ALT,SSS_GPS_VEL_X,SSS_GPS_VEL_Y,SSS_GPS_HEADING,SSS_GPS_GROUNDSPEED,VEHICLE_LAT,VEHICLE_LON,VEHICLE_ALT,VEHICLE_ALT_DESIRED,VEHICLE_THROTTLE,VEHICLE_GROUNDSPEED,VEHICLE_DISTANCE_ERROR,MOTIONCONTROLLER_SPRING_LENGTH,MOTIONCONTROLLER_TETHER_OUT,MOTIONCONTROLLER_DRUM_SPEED,MOTIONCONTROLLER_DANCER_POSITION,VEHICLE_STATE,MOTIONCONTROLLER_STATE,SSS_GPS_STATE,POWERSUPPLY_STATE,COORDINATOR_STATE,MavLink Msg Rate,MavLink Unique Msg Rate
2018-07-03 09:59:03.85,39.7353598516667,-75.3992181616667,12.914,-0.0354331394937678,-0.0069645510475699,258.88,0.0361111111111111,0,0,0,0,0,0,6250146.12618754,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:04.068,39.7353598383333,-75.3992181566667,12.906,-0.0557524103898506,0.0365528819679943,303.25,0.0666666666666667,0,0,0,0,0,0,6250146.12605857,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:04.29,39.73535987,-75.399218125,12.894,0.0110954750445272,0.000589256870754688,86.96,0.0111111111111111,0,0,0,0,0,0,6250146.12565291,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:04.508,39.73535986,-75.399218075,12.892,-0.0454447979524324,0.0128338852522348,285.77,0.0472222222222222,0,0,0,0,0,0,6250146.12479995,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:04.725,39.7353598566667,-75.399218095,12.883,0.0690778293506269,0.00712631436320367,84.11,0.0694444444444444,0,0,0,0,0,0,6250146.12511517,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:04.932,39.7353598583333,-75.3992180283333,12.882,-0.039207881617465,0.0468754724808766,320.09,0.0611111111111111,0,0,0,0,0,0,6250146.124031,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:05.148,39.7353598983333,-75.399218025,12.875,-0.0563818560582788,-0.0575350661621912,224.42,0.0805555555555555,0,0,0,0,0,0,6250146.12411812,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:05.365,39.735359865,-75.3992179883333,12.877,-0.0693555109155685,-0.0035133986164384,267.1,0.0694444444444444,0,0,0,0,0,0,6250146.12340055,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:05.583,39.735359875,-75.3992179733333,12.865,-0.0309551155629128,0.0494424776711735,327.95,0.0583333333333333,0,0,0,0,0,0,6250146.12319069,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:05.805,39.7353598883333,-75.39921798,12.864,0.0135252430205157,-0.00315737799509231,103.14,0.0138888888888889,0,0,0,0,0,0,6250146.12334691,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:06.023,39.73535989,-75.3992179666667,12.855,-0.0235001973796623,0.0148103227982552,302.22,0.0277777777777778,0,0,0,0,0,0,6250146.1231348,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:06.24,39.7353598866667,-75.399217945,12.852,0.035193932828116,0.0271421394526181,52.36,0.0444444444444444,0,0,0,0,0,0,6250146.12276872,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:06.448,39.7353599066667,-75.3992179216667,12.848,0.0147902241176547,-0.0076829062422577,117.45,0.0166666666666667,0,0,0,0,0,0,6250146.12245801,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:06.668,39.73535987,-75.399217895,12.844,0.00299145212870721,0.049910431917202,3.43,0.05,0,0,0,0,0,0,6250146.12189215,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:06.883,39.735359905,-75.3992178783333,12.84,0.0102527225088625,-0.0258164021394901,158.34,0.0277777777777778,0,0,0,0,0,0,6250146.12174356,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:07.087,39.735359885,-75.399217815,12.837,-0.0529167866296469,0.016918435089536,287.73,0.0555555555555556,0,0,0,0,0,0,6250146.12063718,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:07.293,39.7353598916667,-75.3992178166667,12.833,-0.028381282814762,-0.0265866219140537,226.87,0.0388888888888889,0,0,0,0,0,0,6250146.12068803,0,1.782,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:07.509,39.735359875,-75.39921782,12.832,0.0193770993162976,0.00161692357253745,85.23,0.0194444444444444,0,0,0,0,0,0,6250146.12068353,0,1.782,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:07.725,39.735359865,-75.3992177983333,12.828,0.0109082680290435,-0.0224946591129216,154.13,0.025,0,0,0,0,0,0,6250146.12029385,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:07.93,39.7353598633333,-75.3992178216667,12.817,0.0304317270093593,-0.00274808415745856,95.16,0.0305555555555556,0,0,0,0,0,0,6250146.12066947,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
